set,source_file,message,final_label
train,airdata_logs.xlsx,Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,76
train,airdata_logs.xlsx,Strong Remote Controller Interference.,297
train,airdata_logs.xlsx,"Aircraft max power load reached. Decrease altitude and fly with caution. If this issue persists, land immediately (Code: 30168).",370
train,airdata_logs.xlsx,Check whether the propellers are attached to the correct motors based on their markings. Incorrect installation will cause the aircraft to roll over during takeoff (Code: 30251).,394
train,airdata_logs.xlsx,Max Altitude Approached. Wait for the GPS satellite signal recovery before ascend.,393
train,airdata_logs.xlsx,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30232).,102
train,airdata_logs.xlsx,Subject lost. Reselect subject (Code: 800018).,385
train,airdata_logs.xlsx,"Aircraft is tilted, please keep the aircraft stationary and level before flight.",419
train,airdata_logs.xlsx,Current RTH route will pass a no-fly zone. Pay attention to the aircraft's position to avoid RTH failure.,247
train,airdata_logs.xlsx,Gimbal calibration error. Restart aircraft or contact DJI Support if the issue persists (Code: 40011).,405
train,airdata_logs.xlsx,Lighting environment too dark. Visual positioning inaccurate. Fly with caution (Code: 180032).,14
train,airdata_logs.xlsx,Strong Aircraft Interference.,361
train,airdata_logs.xlsx,Aircraft flight control locked.,41
train,airdata_logs.xlsx,Aircraft flight control obtained by remote controller A.,68
train,airdata_logs.xlsx,Auxiliary Bottom Light set to automatic mode.,502
train,airdata_logs.xlsx,Battery power restricted. Aircraft performance decreased to ensure flight safety. Return to home promptly (Code: 110013).,395
train,airdata_logs.xlsx,Critical Low Battery (Code: 30183).,464
train,airdata_logs.xlsx,Propeller Fell Off. Motor idle. Check whether propellers are installed (Code: 30166).,22
train,airdata_logs.xlsx,Return-to-Home Altitude: nnn.,488
train,airdata_logs.xlsx,Weak signal. Make sure the remote controller is facing aircraft and avoid blocking the signal (Code: 80016).,324
train,airdata_logs.xlsx,Aircraft flight control unlocked.,506
train,airdata_logs.xlsx,Braking now! No use to move the stick right. Avoid the obstacle.,330
train,airdata_logs.xlsx,Homepoint updated. RTH altitude adjusted to nnn (Code: 3000001).,69
train,airdata_logs.xlsx,Insufficient SD card space. Change card or delete files (Code: 10035).,496
train,airdata_logs.xlsx,Motor idle. Check whether propellers are installed (Code: 30166).,22
train,airdata_logs.xlsx,Pano successful.,311
train,airdata_logs.xlsx,Strong Interference to Remote Controller. Signal interruption maybe more likely. Fly with caution.,476
train,airdata_logs.xlsx,Battery temperature too low. Fly with caution (Code: 110023).,470
train,airdata_logs.xlsx,EMMC is full.,255
train,airdata_logs.xlsx,Extra payload detected. Max altitude set to nnn and max distance set to nnn to ensure flight safety (Code: 30232).,490
train,airdata_logs.xlsx,SD card full. Change card or delete files (Code: 10027).,295
train,airdata_logs.xlsx,Unable to take off in low light environment. Ensure there are no metal and magnetic objects near the aircraft and calibrate compass (Code: 30096).,261
train,airdata_logs.xlsx,"During Smart Track, you can control lens zoom within a certain limit.",435
train,airdata_logs.xlsx,Gimbal IMU data error. Contact DJI Support for assistance (Code: 40021).,491
train,airdata_logs.xlsx,Motor is Blocked. Motor stuck. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,76
train,airdata_logs.xlsx,Obstacle Avoidance disabled. Fly with caution.,482
train,airdata_logs.xlsx,Propeller Guard Mounted. Propeller Guard mounted. Forward Obstacle Sensing will be automatically switched off.,284
train,airdata_logs.xlsx,Unable to take off (Code: 30064).,191
train,airdata_logs.xlsx,Downward Obstacle Sensing is not functioning. Ambient Light is too weak.,507
train,airdata_logs.xlsx,Extra payload detected. Return aircraft to an area nearby the home point promptly and fly in a wind-free environment to ensure flight safety (Code: 30231).,67
train,airdata_logs.xlsx,Extra payload detected. Return the aircraft to an area nearby the home point promptly to ensure flight safety (Code: 30231).,67
train,airdata_logs.xlsx,Motor unable to rotate. Check for objects blocking motor or contact DJI Support for assistance (Code: 30165).,477
train,airdata_logs.xlsx,Propulsion output has been limited to ensure battery health.,411
train,airdata_logs.xlsx,Strong wireless interference. Please fly with caution.,445
train,airdata_logs.xlsx,"Subject lost, searching.",157
train,airdata_logs.xlsx,Account not logged in. Flight altitude and distance restricted to nnn and nnn. Check and log in (Code: 3000003).,367
train,airdata_logs.xlsx,Aircraft in Authorization Zone. Exit zone promptly (Code: 190004).,366
train,airdata_logs.xlsx,Compass initialization failed. Restart aircraft (Code: 30063).,429
train,airdata_logs.xlsx,Intelligent Flight Modes have not been enabled. Enable this option in Main Controller Settings if needed.,390
train,airdata_logs.xlsx,Obstacle sensing not available at night. Adjust RTH altitude to above tallest surrounding building before flying (Code: 3203600).,417
train,airdata_logs.xlsx,Panorama Captured Successfully.,409
train,airdata_logs.xlsx,Tip: Only the first camera can tap-zoom in dual gimbal control mode.,323
train,airdata_logs.xlsx,"Tip: When multi-gimbals are controlled together, only the first gimbal spotlight feature is available.",371
train,airdata_logs.xlsx,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.,432
train,airdata_logs.xlsx,Aircraft ActiveTrack max speed of nnn and Obstacle Avoidance functions normally.,16
train,airdata_logs.xlsx,Compass error. Ensure there are no metal or magnetic objects near the aircraft and calibrate it before use (Code: 30060).,389
train,airdata_logs.xlsx,Gimbal Pitch Limit Reached.,70
train,airdata_logs.xlsx,Motor nnn stalled. Land aircraft immediately.,287
train,airdata_logs.xlsx,Pano shooting completed. The sky part is filled automatically.,269
train,airdata_logs.xlsx,Precision Landing. Locating Landing Point.,47
train,airdata_logs.xlsx,Remote controller disconnected from aircraft (Code: 30029).,379
train,airdata_logs.xlsx,Yaw Error.,289
train,airdata_logs.xlsx,Aircraft is in QuickShot Mode. Ensure your environment is free of potential obstacles.,182
train,airdata_logs.xlsx,Aircraft propulsion system error. Forced landing. Manually control the aircraft and land in an open area.,194
train,airdata_logs.xlsx,Camera Settings ActiveTrack Optimized.,45
train,airdata_logs.xlsx,Color display in the Liveview has been enhanced. Videos and photos will still be shot in D-Log mode.,248
train,airdata_logs.xlsx,Impact detected. Restart aircraft (Code: 30132).,13
train,airdata_logs.xlsx,"Low power, please replace the battery.",381
train,airdata_logs.xlsx,QuickShot has ended.,266
train,airdata_logs.xlsx,Remote controller battery level low. Recharge promptly (Code: 60001).,256
train,airdata_logs.xlsx,Remote controller signal lost (Code: 30029).,335
train,airdata_logs.xlsx,Returning Home.,278
train,airdata_logs.xlsx,SD card malfunction. Change card (Code: 10023).,241
train,airdata_logs.xlsx,Weak signal. Adjust antenna and avoid signal block.,18
train,airdata_logs.xlsx,Accelerator is Over Range.,497
train,airdata_logs.xlsx,Aircraft in Authorization Zone. Unable to take off before unlocking (Code: 3000005).,340
train,airdata_logs.xlsx,Aircraft in Restricted Zones. Check map to find Recommended Zones (Code: 30083).,448
train,airdata_logs.xlsx,Backward Obstacle Sensing is not functioning.,510
train,airdata_logs.xlsx,"Camera busy, cannot enter playback.",465
train,airdata_logs.xlsx,Cannot Enter TapFly. Cannot fly in that direction.,406
train,airdata_logs.xlsx,Critical low battery. Recharge promptly (Code: 30077).,212
train,airdata_logs.xlsx,"Critically Low Voltage Warning. Land as soon as possible, otherwise the battery will be damaged",391
train,airdata_logs.xlsx,Current elevation above nnn. Fly with caution (Code: 30152).,180
train,airdata_logs.xlsx,Drone is Vibrating.,375
train,airdata_logs.xlsx,"Excessive attitude angle detected, forward obstacle avoidance has stopped working.",263
train,airdata_logs.xlsx,Failed to cancel landing.,84
train,airdata_logs.xlsx,Forward Obstacle Sensing is not functioning.,30
train,airdata_logs.xlsx,Gimbal nnn roll axis endpoint reached.,501
train,airdata_logs.xlsx,Home Point Recorded.,57
train,airdata_logs.xlsx,Landing Canceled.,410
train,airdata_logs.xlsx,Low battery voltage. Fly with caution (Code: 110011).,328
train,airdata_logs.xlsx,Manned aircraft approaching. Fly at a safe altitude (Code: 30180).,35
train,airdata_logs.xlsx,Motor error. Check propellers and fly with caution (Code: 120652).,204
train,airdata_logs.xlsx,Weak GPS signal. Positioning accuracy may be compromised. Please fly with caution.,64
train,airdata_logs.xlsx,Abnormal compass function or GPS signal detected. Aircraft switched to ATTI mode.,376
train,airdata_logs.xlsx,Aircraft entered Fixed-Wing Mode. Current flight speed is nnn. Press C2 to exit.,285
train,airdata_logs.xlsx,Aircraft GPS interference. Aircraft unable to fly stably. Land or reutrn to home promptly (Code: 30245).,307
train,airdata_logs.xlsx,Aircraft pitch angle too large. Ensure aircraft is level before taking off (Code: 30087).,373
train,airdata_logs.xlsx,Aircraft will automatically descend in nnn.,282
train,airdata_logs.xlsx,"Aircraft will not enter S-mode if powered on with the remote controller set to S-mode. Please switch to Normal mode, then back to S-mode to enable it.",472
train,airdata_logs.xlsx,Auto Landing in nnn(s).,350
train,airdata_logs.xlsx,Battery installed incorrectly. Detach battery and reinstall it (Code: 30068).,347
train,airdata_logs.xlsx,Battery level low. Charge battery (Code: 30078).,466
train,airdata_logs.xlsx,Battery: Connection Error.,316
train,airdata_logs.xlsx,Cache Space Full.,454
train,airdata_logs.xlsx,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10016).,142
train,airdata_logs.xlsx,Camera not calibrated. Image quality affected. Contact DJI Support for assistance (Code: 10017).,511
train,airdata_logs.xlsx,Camera Settings Adjusted.,352
train,airdata_logs.xlsx,Cannot enter the selected flight mode. Try again later.,318
train,airdata_logs.xlsx,Capture Failed. The aircraft is moving. Cannot shoot panorama.,478
train,airdata_logs.xlsx,Critical low battery. Aircraft in Auto Power Off Protection. Forced landing in progress (Code: 110014).,23
train,airdata_logs.xlsx,Critically Low Voltage Warning. Aircraft will be forced to land.,155
train,airdata_logs.xlsx,Disable SD card read and write protection or change card (Code: 10024).,397
train,airdata_logs.xlsx,Downward vision sensor error. Contact DJI Support for assistance (Code: 180016).,39
train,airdata_logs.xlsx,Downward vision sensor error. Contact DJI Support for assistance (Code: 180017).,39
train,airdata_logs.xlsx,Extra payload detected. Flight performance will be affected. Fly with caution.,461
train,airdata_logs.xlsx,File system error. Change SD card (Code: 10025).,349
train,airdata_logs.xlsx,Gimbal Yaw Limit Reached.,202
train,airdata_logs.xlsx,GPS signal weak. Positioning accuracy affected. Fly with caution (Code: 30049).,512
train,airdata_logs.xlsx,Landing gear function restored.,326
train,airdata_logs.xlsx,Max altitude reached (Altitude limit: nnn) (Code: 20000001).,235
train,airdata_logs.xlsx,Payload mode enabled. Max altitude set to nnn and max distance set to nnn. Fly in a wind-free environment to ensure flight safety (Code: 30230).,102
train,airdata_logs.xlsx,Propellers not installed (Code: 30144).,127
train,airdata_logs.xlsx,Right dial locked. Please press to adjust.,73
train,airdata_logs.xlsx,RTH altitude adjusted to nnn (Code: 120852).,513
train,airdata_logs.xlsx,The aircraft is flying back to the start point.,60
train,airdata_logs.xlsx,Vision sensor error. Contact DJI Support for assistance (Code: 180030).,514
train,airdata_logs.xlsx,Warning: Command Failed.,474
train,airdata_logs.xlsx,Warning: Motor Obstructed.,437
train,airdata_logs.xlsx,Weak image transmission signal. Adjust antennas (Code: 80004).,436
train,airdata_logs.xlsx,Your aircraft is at the boundary of an Authorization Zone. Please fly away with caution.,402
train,airdata_logs.xlsx,A passenger aircraft is approaching. Descend as soon as possible.,42
train,airdata_logs.xlsx,A passenger aircraft is nearby. Fly with caution.,54
train,airdata_logs.xlsx,ActiveTrack Flight Ended: Aircraft is entering a restricted area.,193
train,airdata_logs.xlsx,ActiveTrack Flight Ended: Cannot find subject.,336
train,airdata_logs.xlsx,ActiveTrack Flight Ended: Control Signal Timeout (RC).,480
train,airdata_logs.xlsx,ActiveTrack Flight Paused.,303
train,airdata_logs.xlsx,ActiveTrack Flight Stopped. Aircraft Entering Restricted Area.,193
train,airdata_logs.xlsx,Advanced RTH Image Transmission Recovered. Aircraft is returning home.,10
train,airdata_logs.xlsx,AE Locked. Metering disabled.,399
train,airdata_logs.xlsx,Aircraft ActiveTrack available at max speed. Obstacle Avoidance is not available.,112
train,airdata_logs.xlsx,"Aircraft ActiveTrack available at max speed. When exceeding nnn, Obstacle Avoidance is not available.",112
train,airdata_logs.xlsx,Aircraft ActiveTrack max speed of nnn. Left and right Obstacle Sensing systems are available.,16
train,airdata_logs.xlsx,Aircraft approaching obstacle sensing blind spot and may be unable to detect obstacles. Fly with caution.,270
train,airdata_logs.xlsx,"Aircraft close to Home Point. ""go home"" shifts to ""landing"".",515
train,airdata_logs.xlsx,Aircraft Core Board Overheated.,302
train,airdata_logs.xlsx,Aircraft exceeded distance limit and has exited Hyperlapse mode.,259
train,airdata_logs.xlsx,Aircraft flight control obtained by remote controller UNKNOWN.,68
train,airdata_logs.xlsx,Aircraft GPS signal too weak. Home Point not updated.,337
train,airdata_logs.xlsx,Aircraft in Altitude Zone. Max altitude set to nnn (Code: 30015).,200
train,airdata_logs.xlsx,Aircraft in high interference environment. Fly with caution (Code: 80015).,368
train,airdata_logs.xlsx,Aircraft in Restricted Zone. Unable to take off. Check map to find Recommended Zones (Code: 3000006).,469
train,airdata_logs.xlsx,Aircraft is close to Home Point. Return-to-Home Mode is now Auto Landing Mode.,516
train,airdata_logs.xlsx,Aircraft is flying back to the start point.,60
train,airdata_logs.xlsx,"Aircraft is in Attitude mode, so that it will not hover. Please fly with caution.",265
train,airdata_logs.xlsx,Aircraft is in Sport Mode. Exit this mode and try again.,485
train,airdata_logs.xlsx,Aircraft is in Tripod Mode. Exit this mode and try again.,300
train,airdata_logs.xlsx,"Aircraft is landing due to low voltage, which cannot be stopped. You can decelerate the descending speed and avoid obstacles using sticks.",341
train,airdata_logs.xlsx,Aircraft is returning to the starting point.,60
train,airdata_logs.xlsx,Aircraft is too far away.,345
train,airdata_logs.xlsx,Aircraft not in flight. Vision system and obstacle sensing unavailable (Code: 180059).,219
train,airdata_logs.xlsx,Aircraft not linked to phone number. Flight range restricted. Check and link phone number (Code: 3000004).,382
train,airdata_logs.xlsx,Aircraft power insufficient. Fly with caution (Code: 30168).,314
train,airdata_logs.xlsx,Aircraft processor chip overheated. Power off aircraft and wait for temperature to return to normal (Code: 30136).,51
train,airdata_logs.xlsx,Aircraft processor overheated. Automatically returning to home (Code: 30185).,51
train,airdata_logs.xlsx,Aircraft settings updated to comply with national regulations.,415
train,airdata_logs.xlsx,Aircraft switched to ATTI mode.,260
train,airdata_logs.xlsx,Aircraft takeoff altitude error. Restart aircraft (Code: 30235).,275
train,airdata_logs.xlsx,Aircraft too Far. Cannot enter Follow Me Mode.,242
train,airdata_logs.xlsx,Aircraft unable to return to home automatically. Lower altitude immediately and return to home manually (Code: 120596).,215
train,airdata_logs.xlsx,AirSense communication error. Unable to display nearby manned aircraft and anti-collision warnings. Fly with caution (Code: 30247).,343
train,airdata_logs.xlsx,Altitude Less than nnn. Cannot enable Follow Me Mode.,321
train,airdata_logs.xlsx,"Another aircraft is dangerously close, please descend to a safer altitude.",310
train,airdata_logs.xlsx,Another aircraft is nearby. Another aircraft is approaching. Descend as soon as possible.,42
train,airdata_logs.xlsx,Another aircraft is nearby. Fly with caution.,54
train,airdata_logs.xlsx,APAS has been enabled.,250
train,airdata_logs.xlsx,API Automatic Return Home.,164
train,airdata_logs.xlsx,API Automatic Takeoff.,396
train,airdata_logs.xlsx,Approaching a No-Fly Zone. RTH may be affected. Fly with caution.,430
train,airdata_logs.xlsx,Approaching NFZ or pre-set distance limit of (nnn). Revise Flight Route.,267
train,airdata_logs.xlsx,Arrived at destination.,459
train,airdata_logs.xlsx,Arrived at End Point.,403
train,airdata_logs.xlsx,Arrived at Start Point. Starting Waypoint Mission.,21
train,airdata_logs.xlsx,At least two Waypoints are needed.,110
train,airdata_logs.xlsx,At Least Two Waypoints Required.,110
train,airdata_logs.xlsx,Attitude is too large. Backward Obstacle Sensing is not functioning.,160
train,airdata_logs.xlsx,Attitude is too large. Backward obstacle sensing is unavailable.,517
train,airdata_logs.xlsx,Attitude is too large. Forward Obstacle Sensing is not functioning.,160
train,airdata_logs.xlsx,Attitude is too large. Forward obstacle sensing is unavailable.,160
train,airdata_logs.xlsx,Auto landing initiated.,77
train,airdata_logs.xlsx,Backward ambient light too low. Backward obstacle avoidance unavailable. Only infrared sensors available. Fly with caution.,24
train,airdata_logs.xlsx,Backward sensor(s) blocked. Obstacle avoidance unavailable. Fly with caution.,294
train,airdata_logs.xlsx,Barometer initialization failed. Restart aircraft (Code: 30042).,217
train,airdata_logs.xlsx,Barometer initialization failed. Restart aircraft (Code: 30047).,217
train,airdata_logs.xlsx,Battery Alert. Battery installation error. Please check the batteries are inserted correctly.,416
train,airdata_logs.xlsx,"Battery cell broken, please replace the battery.",447
train,airdata_logs.xlsx,Battery cells undervoltage (Code: 110011).,400
train,airdata_logs.xlsx,"Battery communication malfunction. Reinstall battery. If the issue persists, replace battery (Code: 110007).",292
train,airdata_logs.xlsx,Battery error. Aircraft returning to home automatically (Code: 110024).,442
train,airdata_logs.xlsx,Battery nnn requires maintenance.,172
train,airdata_logs.xlsx,Battery not installed properly. Return to home immediately. Check and re-install battery.,441
train,airdata_logs.xlsx,Battery overheating. Stop flying and wait for battery temperature to return to normal (Code: 110002).,173
train,airdata_logs.xlsx,Battery power limit will automatically reduce the aircraft's mobility to ensure flight safety.,301
train,airdata_logs.xlsx,Battery power low. Check battery status and charge or warm up battery (Code: 30078).,174
train,airdata_logs.xlsx,Battery temperature is below 15 degrees Celsius. Warm up the battery temperature to above 25 degree Celsius to ensure a safe flight.,139
train,airdata_logs.xlsx,Battery Voltage Difference too large. Check Battery Status.,365
train,airdata_logs.xlsx,Battery: Battery Error. Return home and land soon. View the checklist after landing.,304
train,airdata_logs.xlsx,Battery: Low Voltage Protection.,277
train,airdata_logs.xlsx,Battery: Overcurrent During Discharge.,268
train,airdata_logs.xlsx,Braking now! Return sticks to midpoints first.,7
train,airdata_logs.xlsx,Calibration subject is too close. Recalibrate using a subject that is farther away.,291
train,airdata_logs.xlsx,Calibration target not far away enough. Please calibrate using infinity.,189
train,airdata_logs.xlsx,"Camera Error (error code 01). Solution: Restart the aircraft, if the problem persists, contact DJI Support.",187
train,airdata_logs.xlsx,Camera error. AI Spot-Check failed. Restart camera.,359
train,airdata_logs.xlsx,Camera RCAM not connected. Image quality affected. Contact DJI Support for assistance (Code: 10018).,290
train,airdata_logs.xlsx,Camera sensor error. Hardware malfunction: Contact DJI Support to arrange for repairs.,364
train,airdata_logs.xlsx,Camera Settings Adjusted to ActiveTrack.,45
train,airdata_logs.xlsx,Camera storage full.,319
train,airdata_logs.xlsx,Cancel Landing Failed.,84
train,airdata_logs.xlsx,Cancel Return-to-Home Failed.,87
train,airdata_logs.xlsx,Cannot enable Intelligent Flight Mode: Low Battery.,358
train,airdata_logs.xlsx,Cannot enter ActiveTrack. Ambient Light is too weak.,306
train,airdata_logs.xlsx,Cannot enter TapFly Mode: Max Flight Altitude Reached. Adjust in Main Controller Settings if necessary.,339
train,airdata_logs.xlsx,Cannot exit ActiveTrack.,423
train,airdata_logs.xlsx,Cannot send ActiveTrack command.,434
train,airdata_logs.xlsx,Cannot start Return to Home due to weak GPS signal.,392
train,airdata_logs.xlsx,Cannot start Self-Timer. Exposure time is too long.,362
train,airdata_logs.xlsx,Cannot takeoff in a no-fly zone.,273
train,airdata_logs.xlsx,Cannot takeoff. Ensure the aircraft battery is properly connected.,369
train,airdata_logs.xlsx,Cannot Track Subject. Cannot Identify Subject.,518
train,airdata_logs.xlsx,Cannot track subject: Cannot Identify Subject.,106
train,airdata_logs.xlsx,Cannot track subject: Forward Obstacle Sensing not Responding.,239
train,airdata_logs.xlsx,Cannot track subject: Gimbal Tilt too Large.,281
